dataset_name,number_of_features,proportion_of_numeric_features,number_of_instances,number_of_classes,ratio_of_instances_to_features,ratio_of_classes_to_features,ratio_of_instances_to_classes,ratio_of_min_to_max_instances_per_class,proportion_of_features_with_outliers,average_mutual_information,minimum_mutual_information,maximum_mutual_information,equivalent_number_of_features,noise_to_signal_ratio_of_features,SMOTE_testing_loss,layer_normalisation_testing_loss,batch_normalisation_testing_loss,weight_decay_testing_loss,baseline_testing_loss,dropout_testing_loss,prune_testing_loss,weight_normalisation_testing_loss,weight_perturbation_testing_loss
Dry Bean,8.0,1.0,13543.0,7.0,1692.875,0.875,1934.7142857142856,0.1472081218274111,1.0,0.844170665520609,0.1972633098423584,1.0552091090806586,2.326047942666623,-0.7284609414191348,4,3,1,2,2,3,2,2,2
Dry Bean,10.0,1.0,13543.0,7.0,1354.3,0.7,1934.7142857142856,0.1472081218274111,1.0,0.7887901664004489,0.2305798804898517,1.0554279849096848,2.2007322951289536,-0.7675170735526876,4,1,2,3,2,3,2,1,1
Dry Bean,13.0,1.0,13543.0,7.0,1041.7692307692307,0.5384615384615384,1934.7142857142856,0.1472081218274111,1.0,0.771235856847173,0.1972640352676573,1.0368202858251676,2.1624370657286254,-0.8170965125353873,5,2,2,3,2,4,1,1,1
Dry Bean,16.0,1.0,1951.0,7.0,121.9375,0.4375,278.7142857142857,0.146771037181996,0.9375,0.8144024213827905,0.2351558368647714,1.0771998365881528,2.257826040571094,-0.859290525372989,3,2,1,1,1,1,2,1,2
Dry Bean,16.0,1.0,2801.0,7.0,175.0625,0.4375,400.1428571428572,0.1473396998635743,1.0,0.7919217637180359,0.1864238256511501,1.0274532043907694,2.207634904937186,-0.8552567487862216,5,2,1,2,3,4,1,2,2
Dry Bean,16.0,1.0,7632.0,7.0,477.0,0.4375,1090.2857142857142,0.1471471471471471,1.0,0.8003641785919835,0.2092788860726413,1.0603342576382426,2.2263515704544723,-0.8568004992725624,4,1,3,3,2,2,1,1,1
Dry Bean,16.0,1.0,9410.0,7.0,588.125,0.4375,1344.2857142857142,0.1473214285714285,1.0,0.7959482385225858,0.2029090018672521,1.05523588824472,2.216541810942271,-0.8559988720821003,4,1,1,2,1,3,1,2,3
Dry Bean,16.0,1.0,10935.0,7.0,683.4375,0.4375,1562.142857142857,0.1473978344393992,1.0,0.7992237570758779,0.1955160422979536,1.0577367364223065,2.223814038424192,-0.856590033434041,4,3,3,1,2,2,1,1,2
Indian Engineering Student Placement,21.0,0.6666666666666666,3994.0,2.0,190.1904761904762,0.0952380952380952,1997.0,0.1671537112799532,0.2857142857142857,0.0207817284056936,0.0,0.0628722662918792,1.0209991721971872,-0.0587962114683383,-1,2,4,1,2,3,2,2,2
Indian Engineering Student Placement,16.0,0.6875,3994.0,2.0,249.625,0.125,1997.0,0.1671537112799532,0.3125,0.0258026407022004,0.0,0.0670988399436001,1.0261384105315787,-0.005051759038213,-1,1,3,1,3,1,3,2,1
Indian Engineering Student Placement,17.0,0.7058823529411765,3994.0,2.0,234.94117647058823,0.1176470588235294,1997.0,0.1671537112799532,0.2941176470588235,0.0188873218682429,0.0,0.0576037155473543,1.019066815603027,0.2792791548263769,-1,3,4,1,2,2,2,2,3
Indian Engineering Student Placement,11.0,0.7272727272727273,3994.0,2.0,363.09090909090907,0.1818181818181818,1997.0,0.1671537112799532,0.2727272727272727,0.0264261286302161,0.0,0.0628000549351759,1.0267783949335607,0.4130528208685141,-1,3,4,1,3,2,2,2,2
