dataset_name,batch_size,learning_rate,number_of_epochs,number_of_hidden_layers,avg_number_of_neurons,min_number_of_neurons,max_number_of_neurons,total_number_of_neurons,baseline,batch_normalisation,dropout,layer_normalisation,prune,weight_normalisation,weight_decay,weight_perturbation
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,1,0,0,0,0,1,1,0
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,1,0,0,0,1,1,0,1
Smartphone battery,-1.0237101893599314,-0.9298512857504913,-1.540308092430811,-0.8237288594908642,-1.6857237841523809,-1.0724950835633111,-1.9212325372933445,-2.0323605296140608,1,0,0,0,1,1,1,1
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,0,0,1,0,0,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,0,0,1,0,0,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,1,0,1,0,1,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,0,0,0,0,1,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,0,0,0,0,1,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,0,0,1,0,0,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,0,0,1,0,0,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,0,0,1,0,0,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,0,0,1,0,0,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,1,0,1,0,0,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,1,1,0,0,0,1,1,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,0,0,1,1,0,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,0,0,1,0,1,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,1,0,0,0,0,0
Students Performance Burnout,-0.8255727333547833,-0.9298512857504913,-0.140028008402801,1.0776987853060889,-0.10441648216310187,-1.0724950835633111,0.22140598013417723,0.4929057434751389,0,0,0,0,1,0,0,0
